ID_DISTRITO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,ID_MUNICIPIO,MUNICIPIO,DIST_LOC,LISTA_NOMINAL,PAN,PRI,PRD,PT,PVEM,PNA,MORENA,ES,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_NA_ES,PRI_PVEM,PRI_NA,PRI_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,TERESA_CASTELL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,FECHA,HORA_LLAMADA,HORA_CAPTURA,ORIGEN_CAPTURA,CAE,CLAVE_AUT
23,5692,B,1,0,2,112,"VILLA DE ALLENDE",10,588,12,132,87,2,81,0,9,0,1,1,1,0,6,0,0,0,1,0,0,2,0,15,350,2017-06-04,20:55:24.229,20:57:27.242,cap-5,23-75,3175
35,4431,C,1,0,1,89,"TENANCINGO",7,516,59,86,65,3,2,7,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,349,2017-06-04,20:54:56.836,20:57:18.779,cap-85,35-46,5095
3,2352,C,1,0,2,49,"JOCOTITLAN",13,638,25,177,75,2,3,5,83,0,2,1,1,1,1,2,0,0,0,0,0,4,0,19,401,2017-06-04,20:52:59.243,20:57:16.713,cap-106,3-25,8229
27,497,C,2,0,1,18,"CALIMAYA",7,538,39,95,66,4,3,0,100,0,0,1,0,0,2,0,0,0,1,0,0,5,0,8,324,2017-06-04,20:54:44.025,20:57:15.980,cap-58,27-1,6599
3,4046,B,1,0,2,124,"SAN JOSE DEL RINCON",13,706,116,220,16,0,3,4,45,14,5,1,0,0,5,3,0,0,0,0,1,3,1,9,446,2017-06-04,20:53:46.161,20:57:12.248,cap-117,3-50,5489
29,3348,C,1,0,1,60,"NEZAHUALCOYOTL",25,393,3,0,118,3,0,0,72,0,72,0,0,0,0,0,0,0,0,0,0,3,0,0,271,2017-06-04,20:59:48.185,20:57:10.923,cap-39,29-45,8844
26,5415,B,1,0,1,107,"TOLUCA",2,605,51,71,73,6,0,3,108,0,0,2,0,0,3,2,0,0,0,0,0,11,1,9,340,2017-06-04,20:53:06.200,20:57:06.050,cap-42,26-38,1984
3,431,C,3,0,2,14,"ATLACOMULCO",13,701,58,103,47,11,1,1,136,3,1,1,0,0,1,0,0,0,0,0,0,8,0,12,383,2017-06-04,20:55:05.872,20:56:50.457,cap-34,3-11,6669
16,4766,C,2,0,1,105,"TLALNEPANTLA DE BAZ",37,676,41,76,42,1,4,6,138,2,0,1,1,0,0,1,0,0,0,0,2,10,0,11,336,2017-06-04,20:57:26.724,20:56:23.826,cap-46,16-53,4699
40,5836,C,1,0,1,119,"ZINACANTEPEC",36,660,40,123,68,13,3,2,107,3,1,4,0,0,0,0,0,1,2,0,0,15,0,10,392,2017-06-04,20:52:48.938,20:55:58.636,cap-40,40-51,3647
10,1756,C,1,0,1,34,"ECATEPEC DE MORELOS",6,645,25,75,56,3,6,0,95,1,0,0,0,0,3,0,0,0,0,0,0,5,0,13,282,2017-06-04,20:57:56.482,20:55:57.928,cap-75,10-93,3033
38,4672,C,1,0,2,100,"TEXCOCO",23,630,27,82,41,2,5,0,162,1,1,1,0,0,1,0,0,0,1,0,0,8,1,14,347,2017-06-04,20:53:48.556,20:55:52.121,cap-7,38-42,1070
35,4715,C,2,0,2,102,"TIANGUISTENCO",4,711,29,97,72,6,2,1,143,1,0,2,0,0,0,1,0,0,0,0,0,14,0,6,374,2017-06-04,20:53:22.612,20:55:49.714,cap-43,35-77,2163
